Nr.;Datum;Zeit;P.Zeit;MTC1;MTC2;MTC3;MTC4;Pyrometer;AV Abs. Press. 1;AV Abs. Press. 2;AV Rel. Pressure;Thermovak;CZ_Temperature c;yPower;SV Temperature;SV Power;SV Force;SV Speed;AV Force;AV Speed;SV Rel. pressure;SV Abs. pressure;Vac. Main Valve;Put On Force;Pyro Start Temp.;I RMS;Pulse Time;Pause Time;U RMS;Heating power;Rel. Piston Trav;Abs. Piston Trav
1;20.05.2008;11:09:41;00:00:00;22;24;23;23;400;13,30;1046;45;1687;100;0;20;0;5;30,000;0;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,00;37,13
2;20.05.2008;11:09:42;00:00:01;22;24;44;23;400;13,30;1046;45;1687;100;0;20;0;5;30,000;0;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,00;37,13
3;20.05.2008;11:09:43;00:00:02;22;24;23;23;400;13,30;1046;45;1687;100;0;20;0;5;30,000;3;3,100;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,00;37,30
4;20.05.2008;11:09:44;00:00:03;22;24;23;23;400;13,30;1046;45;1687;100;0;20;0;5;30,000;4;3,100;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,14;37,49
5;20.05.2008;11:09:45;00:00:04;22;24;23;23;400;13,30;903;32;1687;100;0;20;0;5;30,000;4;3,100;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,14;37,49
6;20.05.2008;11:09:46;00:00:05;22;24;24;23;400;13,30;903;-999;1687;100;0;20;0;5;30,000;5;3,100;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,14;37,49
7;20.05.2008;11:09:47;00:00:06;22;24;23;23;400;13,30;656;-999;1687;100;0;20;0;5;30,000;4;2,440;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,14;37,49
8;20.05.2008;11:09:48;00:00:07;22;24;23;23;400;13,30;506;-999;1687;100;0;20;0;5;30,000;4;2,440;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,14;37,49
9;20.05.2008;11:09:49;00:00:08;22;24;24;23;400;13,30;506;-999;1687;100;0;20;0;5;30,000;5;2,440;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;37,50
10;20.05.2008;11:09:50;00:00:09;22;24;24;23;400;13,30;399;-999;1390;100;0;20;0;5;30,000;4;0,050;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;37,50
11;20.05.2008;11:09:51;00:00:10;22;24;24;23;400;13,30;320;-999;1095;100;0;20;0;5;30,000;4;0,050;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;37,50
12;20.05.2008;11:09:52;00:00:11;22;23;24;23;400;13,30;249;-999;995;100;0;20;0;5;30,000;5;0,050;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;37,50
13;20.05.2008;11:09:53;00:00:12;22;23;24;23;400;13,30;249;-999;712;100;0;20;0;5;30,000;4;0,050;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;37,50
14;20.05.2008;11:09:54;00:00:13;22;23;24;23;400;13,30;186;-999;508;100;0;20;0;5;30,000;4;0,100;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;37,50
15;20.05.2008;11:09:55;00:00:14;22;23;24;23;400;13,30;139;-999;332;100;0;20;0;5;30,000;5;0,100;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;37,50
