Nr.;Datum;Zeit;P.Zeit;MTC1;MTC2;MTC3;MTC4;Pyrometer;AV Abs. Press. 1;AV Abs. Press. 2;AV Rel. Pressure;Thermovak;CZ_Temperature c;yPower;SV Temperature;SV Power;SV Force;SV Speed;AV Force;AV Speed;SV Rel. pressure;SV Abs. pressure;Vac. Main Valve;Put On Force;Pyro Start Temp.;I RMS;Pulse Time;Pause Time;U RMS;Heating power;Rel. Piston Trav;Abs. Piston Trav
1;16.05.2008;12:59:54;00:00:00;21;22;24;24;400;13,30;1034;42;1687;100;0;20;0;5;30,000;-1;0,000;5;0,01;100;3;20;0,04;0,0;0,0;0,05;0,0;0,00;37,43
2;16.05.2008;12:59:55;00:00:01;21;22;24;24;400;13,30;1034;42;1687;100;0;20;0;5;30,000;-1;0,000;5;0,01;100;3;20;0,04;0,0;0,0;0,05;0,0;0,00;37,43
3;16.05.2008;12:59:56;00:00:02;21;22;24;24;400;13,30;1034;42;1687;100;0;20;0;5;30,000;1;0,000;5;0,01;100;3;20;0,04;0,0;0,0;0,02;0,0;0,00;37,66
4;16.05.2008;12:59:57;00:00:03;21;22;24;24;400;13,30;1034;42;1687;100;0;20;0;5;30,000;1;0,000;5;0,01;100;3;20;0,04;0,0;0,0;0,00;0,0;0,00;38,14
5;16.05.2008;12:59:58;00:00:04;21;22;24;24;400;13,30;920;-17;1687;100;0;20;0;5;30,000;5;18,670;5;0,01;100;3;20;0,04;0,0;0,0;0,00;0,0;0,19;38,62
6;16.05.2008;12:59:59;00:00:05;21;22;24;24;400;13,30;669;-999;1687;100;0;20;0;5;30,000;5;18,670;5;0,01;100;3;20;0,04;0,0;0,0;0,00;0,0;0,19;38,62
7;16.05.2008;13:00:00;00:00:06;21;22;24;25;400;13,30;669;-999;1687;100;0;20;0;5;30,000;5;18,670;5;0,01;100;3;20;0,04;0,0;0,0;0,00;0,0;0,19;38,62
8;16.05.2008;13:00:01;00:00:07;21;22;24;25;400;13,30;517;-999;1687;100;0;20;0;5;30,000;4;2,200;5;0,01;100;3;20;0,04;0,0;0,0;0,00;0,0;0,19;38,62
9;16.05.2008;13:00:02;00:00:08;21;22;24;25;400;13,30;406;-999;1563;100;0;20;0;5;30,000;4;2,200;5;0,01;100;3;20;0,04;0,0;0,0;0,00;0,0;0,20;38,63
10;16.05.2008;13:00:03;00:00:09;21;22;24;25;400;13,30;406;-999;1235;100;0;20;0;5;30,000;5;2,200;5;0,01;100;3;20;0,04;0,0;0,0;0,00;0,0;0,20;38,63
