No.;Date;Time;P.Time;AV Pyro top;AV control TC;AV TC upper ram;AV TC lower ram;AV Trafo Temp;SV Temperature  ;AV CZ Output;AV Press. Abs. 1;AV Press. Abs. 2;AV Thermovak;SV Rel. Pressure;AV Press. Rel.;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;AV Heating Power;U RMS;I RMS;Spare for I peak;SV Max. Temp TC ;SV Power limit  ;SV Jump to Pyro ;SV Pulse Time   ;SV Pause Time   ;SV Pulses Per Bu;SV Pause Between;SV Put on Force ;SV Speed        ;SV Max. Piston t;SV Abs. Pressure;SV Start Vacuum ;SV Open V1      
;;;;°C;°C;°C;°C;°C;°C    ;%;hPa;hPa;hPa;hPa   ;hPa;kN    ;kN;mm;mm;mm/min;kW;V;kA;kA;°C    ;%     ;°C    ;ms    ;ms    ;;ms    ;kN    ;mm/min;mm    ;hPa   ;hPa   ;hPa   
1;7/30/2020;9:25:49 AM;0:00:00;250,6;24,8;25,6;23,7;26,4;20;0;13,3;1014,783;1,00E+03;20;8,9;5;0,5;60,5;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
2;7/30/2020;9:25:50 AM;0:00:01;250,6;24,8;25,6;23,7;26,4;20;0;13,3;1014,783;1,00E+03;20;8,9;5;0,7;60,5;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
3;7/30/2020;9:25:51 AM;0:00:02;250,6;24,8;25,6;23,7;26,4;20;0;13,3;1014,75;1,00E+03;20;8,9;5;0,6;60,5;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
4;7/30/2020;9:25:52 AM;0:00:03;250,6;24,8;25,6;23,7;26,4;20;0;13,3;1014,708;1,00E+03;20;-130,5;5;0,4;60,5;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
5;7/30/2020;9:25:53 AM;0:00:04;250,6;24,8;25,6;23,7;26,4;20;0;13,3;1014,709;1,00E+03;20;-130,4;5;0,4;60,5;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
6;7/30/2020;9:25:54 AM;0:00:05;250,6;24,6;25,6;23,7;26,4;20;0;13,3;970,392;1,00E+03;20;-130,2;5;0,3;60,5;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
7;7/30/2020;9:25:55 AM;0:00:06;250,6;24,6;25,6;23,7;26,4;20;0;13,3;970,392;1,00E+03;20;-130,2;5;0,5;60,5;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
8;7/30/2020;9:25:56 AM;0:00:07;250,6;23,9;25,6;23,7;26,4;20;0;13,3;877,412;1,00E+03;20;-130,1;5;0,2;60,5;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
9;7/30/2020;9:25:57 AM;0:00:08;250,8;23,9;25,6;23,7;26,4;20;0;13,3;742,998;1,00E+03;20;-130;5;0,5;60,5;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
10;7/30/2020;9:25:58 AM;0:00:09;250,8;22,6;25,6;23,7;26,4;20;0;13,3;742,998;1,00E+03;20;-130;5;0,2;60,5;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
11;7/30/2020;9:25:59 AM;0:00:10;250,7;22,6;25,6;23,7;26,4;20;0;13,3;584,145;1,00E+03;20;-130;5;0,2;60,5;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
