No.;Date;Time;P.Time;AV Pyro top;AV control TC;AV TC upper ram;AV TC lower ram;AV Trafo Temp;SV Temperature  ;AV CZ Output;AV Press. Abs. 1;AV Press. Abs. 2;AV Thermovak;SV Rel. Pressure;AV Press. Rel.;SV Force        ;AV Force;AV Abs. Piston T;AV Rel. Piston T;AV Speed;AV Heating Power;U RMS;I RMS;Spare for I peak;SV Max. Temp TC ;SV Power limit  ;SV Jump to Pyro ;SV Pulse Time   ;SV Pause Time   ;SV Pulses Per Bu;SV Pause Between;SV Put on Force ;SV Speed        ;SV Max. Piston t;SV Abs. Pressure;SV Start Vacuum ;SV Open V1      
;;;;°C;°C;°C;°C;°C;°C    ;%;hPa;hPa;hPa;hPa   ;hPa;kN    ;kN;mm;mm;mm/min;kW;V;kA;kA;°C    ;%     ;°C    ;ms    ;ms    ;;ms    ;kN    ;mm/min;mm    ;hPa   ;hPa   ;hPa   
1;7/30/2020;10:54:09 AM;0:00:00;250,7;26,8;26,5;25,5;29,4;20;0;13,3;1019,797;1,00E+03;20;14,5;5;-0,2;54,89;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
2;7/30/2020;10:54:10 AM;0:00:01;250,7;26,8;26,4;25,5;29,4;20;0;13,3;1019,797;1,00E+03;20;14,4;5;0,2;54,89;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
3;7/30/2020;10:54:11 AM;0:00:02;250,7;26,8;26,4;25,5;29,4;20;0;13,3;1019,755;1,00E+03;20;14,4;5;-0,2;54,89;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
4;7/30/2020;10:54:12 AM;0:00:03;250,8;26,7;26,3;25,4;29,4;20;0;13,3;1019,701;1,00E+03;20;-130,5;5;-0,3;54,89;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
5;7/30/2020;10:54:13 AM;0:00:04;250,8;26,7;26,3;25,4;29,4;20;0;13,3;1019,701;1,00E+03;20;-130,4;5;-0,1;54,89;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
6;7/30/2020;10:54:14 AM;0:00:05;250,8;26,4;26,3;25,4;29,4;20;0;13,3;961,345;1,00E+03;20;-130,2;5;-0,2;54,89;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
7;7/30/2020;10:54:15 AM;0:00:06;250,8;25,6;26,3;25,3;29,4;20;0;13,3;858,713;1,00E+03;20;-130,1;5;-0,4;54,89;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
8;7/30/2020;10:54:16 AM;0:00:07;250,8;25,6;26,3;25,3;29,4;20;0;13,3;858,713;1,00E+03;20;-130,1;5;-0,3;54,89;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
9;7/30/2020;10:54:17 AM;0:00:08;250,8;24,2;26,3;25,3;29,4;20;0;13,3;723,714;1,00E+03;20;-130;5;-0,3;54,89;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
10;7/30/2020;10:54:18 AM;0:00:09;250,9;24,1;26,2;25,3;29,4;20;0;13,3;723,714;1,00E+03;20;-130;5;-0,1;54,89;0;0;0;0,01;0,02;0,21;200;0;300;1;0;1;0;3;40;20;0;1;100
11;7/30/2020;10:54:19 AM;0:00:10;250,9;24,1;26,2;25,3;29,4;20;0;13,3;560,57;1,00E+03;20;-129,9;5;-0,4;54,89;0;0;0;0,01;0,02;0,21;200;0;300;1;0;1;0;3;40;20;0;1;100
12;7/30/2020;10:54:20 AM;0:00:11;250,9;21,9;26,1;25,3;29,4;20;0;13,3;560,57;1,00E+03;20;-129,9;5;-0,1;54,89;0;0;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
13;7/30/2020;10:54:21 AM;0:00:12;250,8;19,3;26;25,2;29,4;20;0;13,3;436,544;1,00E+03;20;-129,8;5;-0,4;54,89;0;0,02;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
14;7/30/2020;10:54:22 AM;0:00:13;250,8;19,3;26;25,2;29,4;20;0;13,3;342,023;1,00E+03;20;-129,8;5;-0,4;54,89;0;0,02;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
15;7/30/2020;10:54:23 AM;0:00:14;250,8;16,6;26;25,2;29,4;20;0;13,3;342,023;1,00E+03;20;-129,8;5;-0,3;54,89;0;0,02;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
16;7/30/2020;10:54:24 AM;0:00:15;250,8;14,1;25,9;25,2;29,4;20;0;13,3;268,425;1,00E+03;20;-129,8;5;-0,5;54,89;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
17;7/30/2020;10:54:25 AM;0:00:16;250,8;14,1;25,9;25,1;29,4;20;0;13,3;268,425;6,60E+02;20;-129,8;5;-0,5;54,89;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
18;7/30/2020;10:54:26 AM;0:00:17;250,8;11,8;25,9;25,1;29,4;20;0;13,3;214,074;4,10E+02;20;-129,8;5;-0,3;54,89;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
19;7/30/2020;10:54:27 AM;0:00:18;250,8;11,8;25,9;25,1;29,4;20;0;13,3;171,896;2,90E+02;20;-129,8;5;-0,5;54,9;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
20;7/30/2020;10:54:28 AM;0:00:19;250,8;9,8;25,8;25,1;29,4;20;0;13,3;171,896;2,10E+02;20;-129,8;5;-0,6;54,9;0;0,03;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
21;7/30/2020;10:54:29 AM;0:00:20;250,8;9,8;25,8;25,1;29,3;20;0;13,3;138,991;1,70E+02;20;-129,8;5;-0,3;54,9;0;0,03;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
22;7/30/2020;10:54:30 AM;0:00:21;250,8;8;25,8;25;29,3;20;0;13,3;138,991;1,30E+02;20;-129,8;5;-0,5;54,9;0;0,03;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
23;7/30/2020;10:54:31 AM;0:00:22;250,8;6,5;25,8;25;29,3;20;0;13,3;113,076;1,10E+02;20;-129,8;5;-0,2;54,9;0;0,02;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
24;7/30/2020;10:54:32 AM;0:00:23;250,8;6,5;25,7;25;29,3;20;0;13,3;92,241;8,70E+01;20;-129,8;5;-0,6;54,9;0;0,02;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
25;7/30/2020;10:54:33 AM;0:00:24;250,7;5,2;25,7;25;29,3;20;0;13,3;92,241;7,40E+01;20;-129,8;5;-0,5;54,9;0;0,02;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
26;7/30/2020;10:54:34 AM;0:00:25;250,7;5,2;25,7;25;29,3;20;0;13,3;73,319;4,10E+01;20;-129,8;5;-0,6;54,9;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
27;7/30/2020;10:54:35 AM;0:00:26;250,9;4,2;25,6;24,9;29,3;20;0;13,3;73,319;2,80E+01;20;-129,8;5;-0,6;54,9;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
28;7/30/2020;10:54:36 AM;0:00:27;250,9;3,2;25,6;24,9;29,3;20;0;13,3;55,548;2,80E+01;20;-129,8;5;-0,5;54,9;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
29;7/30/2020;10:54:37 AM;0:00:28;251;3,2;25,6;24,8;29,3;20;0;13,064;55,548;1,30E+01;20;-129,8;5;-0,6;54,9;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
30;7/30/2020;10:54:38 AM;0:00:29;251;2,4;25,5;24,8;29,3;20;0;13,064;40,14;8,90E+00;20;-129,8;5;-0,7;54,9;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
31;7/30/2020;10:54:39 AM;0:00:30;251;2,4;25,5;24,8;29,3;20;0;11,38;27,452;8,90E+00;20;-129,8;5;-0,5;54,9;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
32;7/30/2020;10:54:40 AM;0:00:31;251;1,9;25,5;24,8;29,3;20;0;11,38;27,452;4,40E+00;20;-129,8;5;-0,5;54,9;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
33;7/30/2020;10:54:41 AM;0:00:32;251;1,9;25,5;24,8;29,3;20;0;11,38;27,452;4,40E+00;20;-129,8;5;-0,3;54,9;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
34;7/30/2020;10:54:42 AM;0:00:33;250,9;1,8;25,5;24,8;29,3;20;0;8,991;19,325;3,10E+00;20;-129,8;5;-0,6;54,9;0;0,01;0;0,01;0,02;0;200;0;300;1;0;1;0;3;40;20;0;1;100
