P.Zeit;;Pyrometer;Pyrometer B;MTC1;MTC2;MTC3;MTC4;Press. abs 1;Press. abs 2;Speed;U RMS;I RMS;Power;Force;Abs Piston Tra.;Rel Piston Tra.;;;
0:00:00;0:57:38;400;400;22;23;23;23;0,13;4;0;0;0,04;0;5;32,77;;;;
0:00:01;0:57:39;400;400;22;23;23;23;0,13;4;0;0;0,04;0;5;32,93;;;;
0:00:02;0:57:40;400;400;22;23;23;23;0,13;4;5,54;0;0,04;0;5;33,06;;;;
0:00:03;0:57:41;400;400;22;23;23;23;0,13;4;5,54;0;0,04;0;5;33,06;;;;
0:00:04;0:57:42;400;400;22;23;23;23;0,13;4;5,54;0;0,04;0;5;33,07;;;;
0:00:05;0:57:43;400;400;22;23;23;23;0,13;4;5,54;0;0,04;0;5;33,07;;;;
0:00:06;0:57:44;400;400;22;23;23;23;0,12;4;0,17;0;0,04;0;5;33,07;;;;
0:00:07;0:57:45;400;400;22;23;23;23;0,12;4;0,17;0;0,04;0;5;33,08;;;;
0:00:08;0:57:46;400;400;22;23;23;23;0,12;4;0,17;0;0,04;0;5;33,08;;;;
0:00:09;0:57:47;400;400;22;23;23;23;0,12;4;0,07;0;0,04;0;5;33,08;;;;
0:00:10;0:57:48;400;400;22;23;23;23;0,12;4;0,07;0;0,04;0;5;33,08;;;;
0:00:11;0:57:49;400;400;22;23;23;23;0,12;4;0,07;0;0,04;0;5;33,08;;;;
0:00:12;0:57:50;400;400;22;23;23;23;0,12;4;0,07;0;0,04;0;5;33,08;;;;
0:00:13;0:57:51;400;400;22;23;23;23;0,12;4;0,01;0;0,04;0;5;33,08;;;;
0:00:14;0:57:52;400;400;22;23;23;23;0,12;4;0,01;0;0,04;0;5;33,08;;;;
0:00:15;0:57:53;400;400;22;23;23;23;0,12;4;0,01;0;0,04;0;5;33,08;;;;
0:00:16;0:57:54;400;400;22;23;23;23;0,12;4;0,01;0;0,04;0;5;33,08;;;;
0:00:17;0:57:55;400;400;22;23;23;23;0,12;4;0,01;0;0,04;0;5;33,08;;;;
0:00:18;0:57:56;400;400;22;23;23;23;0,12;4;0,01;0;0,04;0;5;33,08;;;;
0:00:19;0:57:57;400;400;22;23;23;23;0,12;4;0,01;0;0,04;0;5;33,08;;;;
0:00:20;0:57:58;400;400;22;23;23;23;0,12;4;0,01;0;0,04;0;5;33,08;;;;
0:00:21;0:57:59;400;400;22;23;23;23;0,12;4;0,01;0;0,04;0;5;33,08;;;;
0:00:22;0:58:00;400;400;22;23;23;23;0,12;4;0,01;0;0,04;0;5;33,08;;;;
0:00:23;0:58:01;400;400;22;23;23;23;0,12;4;0,03;0;0,04;0;5;33,08;;;;
0:00:24;0:58:02;400;400;22;23;23;23;0,12;4;0,03;0;0,04;0;5;33,08;;;;
0:00:25;0:58:03;400;400;22;23;23;23;0,12;4;0,03;0;0,04;0;5;33,08;;;;
0:00:26;0:58:04;400;400;22;23;23;23;0,12;4;0;0;0,04;0;5;33,08;;;;
0:00:27;0:58:05;400;400;22;23;23;23;0,12;4;0;0;0,04;0;5;33,08;;;;
0:00:28;0:58:06;400;400;22;23;23;23;0,11;4;0;0;0,04;0;5;33,08;;;;
0:00:29;0:58:07;400;400;22;23;23;23;0,11;4;0;0;0,04;0;5;33,08;;;;
0:00:30;0:58:08;400;400;22;23;23;23;0,11;4;0;0;0,04;0;5;33,08;;;;
0:00:31;0:58:09;400;400;22;23;23;23;0,11;4;0;0;0,04;0;5;33,08;;;;
0:00:32;0:58:10;400;400;22;23;23;23;0,11;4;0;0;0,04;0;5;33,08;;;;
0:00:33;0:58:11;400;400;22;23;23;23;0,11;4;0;0;0,04;0;5;33,08;;;;
0:00:34;0:58:12;400;400;22;23;23;23;0,11;4;0;0;0,04;0;5;33,08;;;;
0:00:35;0:58:13;400;400;22;23;23;23;0,11;4;0;0;0,04;0;5;33,08;;;;
0:00:36;0:58:14;400;400;22;23;23;23;0,11;4;0;0;0,04;0;5;33,08;;;;
0:00:37;0:58:15;400;400;22;23;23;23;0,11;4;0;0;0,04;0;5;33,08;;;;
0:00:38;0:58:16;400;400;22;23;23;23;0,11;4;0;0;0,04;0;5;33,08;;;;
0:00:39;0:58:17;400;400;22;23;23;23;0,11;4;0;0;0,04;0;5;33,08;;;;
0:00:40;0:58:18;400;400;22;23;23;23;0,11;4;0;0;0,04;0;5;33,08;;;;
