P.Zeit;;Pyrometer;Pyrometer B;MTC1;MTC2;MTC3;MTC4;Press. abs 1;Press. abs 2;Speed;U RMS;I RMS;Power;Force;Abs Piston Tra.;Rel Piston Tra.;
0:00:00;0:57:19;400;400;25;26;25;25;0,11;4;-0,06;0;0,03;0;5;33,82;;
0:00:01;0:57:20;400;400;25;26;25;25;0,11;4;-0,04;0;0,03;0;5;33,82;;
0:00:02;0:57:21;400;400;25;26;25;25;0,11;4;-0,04;0;0,03;0;5;33,9;;
0:00:03;0:57:22;400;400;25;26;25;25;0,11;4;-0,04;0;0,04;0;6;34,08;;
0:00:04;0:57:23;400;400;25;26;25;25;0,11;4;-0,04;0;0,03;0;6;34,1;;
0:00:05;0:57:24;400;400;25;26;25;25;0,11;4;5,35;0;0,03;0;6;34,11;;
0:00:06;0:57:25;400;400;25;26;25;25;0,11;4;5,35;0;0,03;0;7;34,13;;
0:00:07;0:57:26;400;400;25;26;25;25;0,11;4;5,35;0;0,03;0;7;34,18;;
0:00:08;0:57:27;400;400;25;26;25;25;0,11;4;1,5;0;0,03;0;7;34,21;;
0:00:09;0:57:28;400;400;25;26;25;25;0,11;4;1,5;0;0,03;0;7;34,32;;
0:00:10;0:57:29;400;400;25;26;25;25;0,11;4;1,5;0;0,03;0;8;34,48;;
0:00:11;0:57:30;400;400;25;26;25;25;0,11;4;6,57;0;0,03;0;8;34,57;;
0:00:12;0:57:31;400;400;25;26;25;25;0,11;4;6,57;0;0,03;0;8;34,73;;
0:00:13;0:57:32;400;400;25;26;25;25;0,11;4;6,57;0;0,03;0;9;34,86;;
0:00:14;0:57:33;400;400;25;26;25;25;0,11;4;6,57;0;0,03;0;9;34,94;;
0:00:15;0:57:34;400;400;25;26;25;25;0,11;4;7,26;0;0,03;0;9;35,07;;
0:00:16;0:57:35;400;400;25;26;25;25;0,11;4;7,26;0;0,03;0;9;35,12;;
0:00:17;0:57:36;400;400;25;26;25;25;0,11;4;7,26;0;0,03;0;10;35,23;;
0:00:18;0:57:37;400;400;25;26;25;25;0,11;4;5,6;0;0,03;0;10;35,33;;
0:00:19;0:57:38;400;400;25;26;25;25;0,11;4;5,6;0;0,03;0;10;35,38;;
0:00:20;0:57:39;400;400;25;26;25;25;0,11;4;5,6;0;0,03;0;11;35,46;;
0:00:21;0:57:40;400;400;25;26;25;25;0,11;4;4,25;0;0,03;0;11;35,53;;
0:00:22;0:57:41;400;400;25;26;25;25;0,11;4;4,25;0;0,03;0;11;35,56;;
0:00:23;0:57:42;400;400;25;26;25;25;0,11;4;4,25;0;0,03;0;11;35,63;;
0:00:24;0:57:43;400;400;25;26;25;25;0,11;4;3,35;0;0,03;0;12;35,7;;
0:00:25;0:57:44;400;400;25;26;25;25;0,11;4;3,35;0;0,03;0;12;35,74;;
0:00:26;0:57:45;400;400;25;26;25;25;0,11;4;3,35;0;0,03;0;12;35,82;;
0:00:27;0:57:46;400;400;25;26;25;25;0,11;4;3,35;0;0,03;0;13;35,92;;
0:00:28;0:57:47;400;400;25;26;25;25;0,11;4;4,34;0;0,03;0;13;35,97;;
0:00:29;0:57:48;400;400;25;26;25;25;0,11;4;4,34;0;0,03;0;13;36,06;;
0:00:30;0:57:49;400;400;25;26;25;25;0,11;4;4,34;0;0,03;0;13;36,11;;
0:00:31;0:57:50;400;400;25;26;25;25;0,11;4;4,81;0;0,03;0;14;36,2;;
0:00:32;0:57:51;400;400;25;26;25;25;0,11;4;4,81;0;0,03;0;14;36,3;;
0:00:33;0:57:52;400;400;25;26;25;25;0,11;4;4,81;0;0,03;0;14;36,34;;
0:00:34;0:57:53;400;400;25;26;25;25;0,11;4;4,81;0;0,03;0;15;36,4;;
0:00:35;0:57:54;400;400;25;26;25;25;0,11;4;3,67;0;0,03;0;15;36,44;;
0:00:36;0:57:55;400;400;25;26;25;25;0,11;4;3,67;0;0,03;0;15;36,47;;
0:00:37;0:57:56;400;400;25;26;25;25;0,11;4;3,67;0;0,03;0;15;36,53;;
0:00:38;0:57:57;400;400;25;26;25;25;0,11;4;2,86;0;0,03;0;16;36,61;;
0:00:39;0:57:58;400;400;25;26;25;25;0,11;4;2,86;0;0,03;0;16;36,65;;
0:00:40;0:57:59;400;400;25;26;25;25;0,11;4;2,86;0;0,03;0;16;36,75;;
0:00:41;0:58:00;400;400;25;26;25;25;0,11;4;4,24;0;0,03;0;17;36,82;;
0:00:42;0:58:01;400;400;25;26;25;25;0,11;4;4,24;0;0,03;0;17;36,85;;
0:00:43;0:58:02;400;400;25;26;25;25;0,11;4;4,24;0;0,03;0;17;36,91;;
0:00:44;0:58:03;400;400;25;26;25;25;0,11;4;4,24;0;0,03;0;17;36,93;;
0:00:45;0:58:04;400;400;25;26;25;25;0,11;4;2,64;0;0,03;0;18;36,98;;
0:00:46;0:58:05;400;400;25;26;25;25;0,11;4;2,64;0;0,03;0;18;37,03;;
0:00:47;0:58:06;400;400;25;26;25;25;0,11;4;2,64;0;0,03;0;18;37,07;;
0:00:48;0:58:07;400;400;25;26;25;25;0,11;4;3,1;0;0,03;0;18;37,15;;
0:00:49;0:58:08;400;400;25;26;25;25;0,11;4;3,1;0;0,03;0;19;37,22;;
0:00:50;0:58:09;400;400;25;26;25;25;0,11;4;3,1;0;0,03;0;19;37,26;;
0:00:51;0:58:10;400;400;25;26;25;25;0,11;4;3,35;0;0,03;0;19;37,31;;
0:00:52;0:58:11;400;400;25;26;25;25;0,11;4;3,35;0;0,03;0;20;37,35;;
0:00:53;0:58:12;400;400;25;26;25;25;0,11;4;3,35;0;0,03;0;20;37,37;;
0:00:54;0:58:13;400;400;25;26;25;25;0,11;4;3,35;0;0,03;0;20;37,42;;
0:00:55;0:58:14;400;400;25;26;25;25;0,11;4;2,1;0;0,03;0;20;37,45;;
0:00:56;0:58:15;400;400;25;26;25;25;0,11;4;2,1;0;0,03;0;21;37,51;;
0:00:57;0:58:16;400;400;25;26;25;25;0,11;4;2,1;0;0,03;0;21;37,57;;
0:00:58;0:58:17;400;400;25;26;25;25;0,11;4;3,01;0;0,03;0;21;37,6;;
0:00:59;0:58:18;400;400;25;26;25;25;0,11;4;3,01;0;0,03;0;22;37,69;;
0:01:00;0:58:19;400;400;25;26;25;25;0,11;4;3,01;0;0,03;0;22;37,76;;
0:01:01;0:58:20;400;400;25;26;25;25;0,11;4;3,01;0;0,03;0;22;37,79;;
0:01:02;0:58:21;400;400;25;26;25;25;0,11;4;3,57;0;0,03;0;22;37,83;;
0:01:03;0:58:22;400;400;25;26;25;25;0,11;4;3,57;0;0,03;0;22;37,85;;
0:01:04;0:58:23;400;400;25;26;25;25;0,11;4;3,57;0;0,03;0;22;37,86;;
0:01:05;0:58:24;400;400;25;26;25;25;0,11;4;1,03;0;0,03;0;22;37,86;;
0:01:06;0:58:25;400;400;25;26;25;25;0,11;4;1,03;0;0,03;0;22;37,87;;
0:01:07;0:58:26;400;400;25;26;25;25;0,11;4;1,03;0;0,03;0;22;37,87;;
0:01:08;0:58:27;400;400;25;26;25;25;0,11;4;0,18;0;0,03;0;22;37,87;;
0:01:09;0:58:28;400;400;25;26;25;25;0,11;4;0,18;0;0,03;0;22;37,87;;
0:01:10;0:58:29;400;400;25;26;25;25;0,11;4;0,18;0;0,03;0;22;37,88;;
0:01:11;0:58:30;400;400;25;26;25;25;0,11;4;0,39;0;0,03;0;22;37,89;;
0:01:12;0:58:31;400;400;25;26;25;25;0,11;4;0,39;0;0,03;0;22;37,9;;
0:01:13;0:58:32;400;400;25;26;25;25;0,11;4;0,39;0;0,03;0;22;37,91;;
0:01:14;0:58:33;400;400;25;26;25;25;0,11;4;0,39;0;0,03;0;22;37,91;;
0:01:15;0:58:34;400;400;25;26;25;25;0,11;4;0,41;0;0,03;0;22;37,92;;
0:01:16;0:58:35;400;400;25;26;25;25;0,11;4;0,41;0;0,03;0;22;37,92;;
0:01:17;0:58:36;400;400;25;26;25;25;0,11;4;0,41;0;0,03;0;22;37,92;;
0:01:18;0:58:37;400;400;25;26;25;25;0,11;4;0,04;0;0,03;0;22;37,92;;
0:01:19;0:58:38;400;400;25;26;25;25;0,11;4;0,04;0;0,03;0;22;37,92;;
0:01:20;0:58:39;400;400;25;26;25;25;0,11;4;0,04;0;0,03;0;22;37,92;;
0:01:21;0:58:40;400;400;25;26;25;25;0,11;4;0,04;0;0,03;0;22;37,92;;
0:01:22;0:58:41;400;400;25;26;25;25;0,11;4;0,03;0;0,03;0;22;37,92;;
0:01:23;0:58:42;400;400;25;26;25;25;0,11;4;0,03;0;0,03;0;22;37,92;;
0:01:24;0:58:43;400;400;25;26;25;25;0,11;4;0,03;0;0,03;0;22;37,93;;
0:01:25;0:58:44;400;400;25;26;25;25;0,11;4;0,14;0;0,03;0;22;37,93;;
0:01:26;0:58:45;400;400;25;26;25;25;0,11;4;0,14;0;0,03;0;22;37,93;;
